name,tag
不生气了，好吗,清新
回不去的过往,清新
Bady I Love You,清新
心与心,清新
我默念的好朋友,清新
是我太软弱,清新
可惜不是你,清新
I don't know,清新
love line,清新
叶子,清新
刚好,清新
Run To You,清新
Ready Aim Fire,兴奋
Ready For War,兴奋
Is She with You?,兴奋
Everybody Knows,兴奋
Icky Thump,兴奋
我还有点小糊涂,快乐
海绵宝宝片尾曲,快乐
神奇宝贝·胖丁之歌,快乐
四季的问候,快乐
晚安喵,快乐
让她开心(童声版),快乐
简单爱,快乐
小龙人,快乐
三只小熊,快乐
战豆,快乐
发如雪,伤感
下一个天亮,伤感
白色恋人,伤感
我可以,伤感
雪人,伤感
值得,伤感
阴天,伤感
三人游,伤感
怎样,伤感
夕阳伴我归,浪漫
住在地球晒夕阳,浪漫
四季天,浪漫
日落之前,浪漫
最爱,浪漫
外面的世界,浪漫
又见炊烟,浪漫
日落大道,浪漫
鱼,浪漫
别处的夕阳,浪漫
刚好遇见你,治愈
笔记,治愈
美丽的心情,治愈
彩虹,治愈
当时,治愈
烟火,治愈
如风,治愈
往往,治愈
他,治愈
遥远的歌,治愈
大地,怀旧
老情歌,怀旧
晚秋,怀旧
萍聚,怀旧
听海,怀旧
黄昏,怀旧
下沙,怀旧
水手,怀旧
吻别,怀旧
当年情,怀旧
蚂蚁 蚂蚁,摇滚
live,摇滚
Elevation,摇滚
南方(Live),摇滚
Iris Live,摇滚
晚安北京(Live),摇滚
冷血动物,摇滚
热河 2015现场版,摇滚
姑娘 漂亮,摇滚
高级动物,摇滚
Shape of You,流行
Panama,流行
Look Back,流行
Love The Way You Lie,流行
Floorfiller,流行
Mine (Illenium Remix),流行
Party Shaker (Video Edit),流行
Look At Me Now,流行
I Want You to Know,流行
水(Original Mix),流行
Gonna Be Alright (feat.MRS),流行
其实,治愈
她带我看过这世界,治愈
一封家书,治愈
老街,治愈
一生所爱,治愈
想把你留在这里,治愈
在开始那一天 天色湛蓝 你手心出汗,治愈
当爱已成往事(霸王别姬 电影插曲),治愈
搁浅,治愈
离人,治愈
关于我爱你,民谣
我都跟你走,民谣
等风也等你,民谣
天天想你,民谣
春风十里,民谣
狂恋你,民谣
董小姐,民谣
我要你,民谣
相守,民谣
喜欢,民谣